"","receiver_id","receiver_player_name","Pos","posteam","complete_pass","yards_gained","G"
"10529","00-0023500","F.Gore","RB","NYJ",1,0,15
"10530","00-0036255","D.Mims","WR","NYJ",1,30,9
"10531","00-0023500","F.Gore","RB","NYJ",1,6,15
"10532","00-0032054","B.Perriman","WR","NYJ",0,0,12
"10533","00-0036255","D.Mims","WR","NYJ",0,0,9
"10534","00-0031941","J.Crowder","WR","NYJ",1,9,12
"10535","00-0033555","M.Hollins","WR","MIA",0,0,16
"10536","00-0034829","M.Gesicki","TE","MIA",0,0,15
"10537","00-0032054","B.Perriman","WR","NYJ",1,27,12
"10538","00-0031941","J.Crowder","WR","NYJ",0,0,12
"10539","00-0031547","D.Parker","WR","MIA",0,0,14
"10540","00-0031547","D.Parker","WR","MIA",1,25,14
"10541","00-0034829","M.Gesicki","TE","MIA",0,0,15
"10542","00-0031547","D.Parker","WR","MIA",0,0,14
"10543","00-0032054","B.Perriman","WR","NYJ",1,12,12
"10544","00-0036255","D.Mims","WR","NYJ",1,3,9
"10545","00-0032054","B.Perriman","WR","NYJ",1,3,12
"10546","00-0031547","D.Parker","WR","MIA",0,0,14
"10547","00-0032791","J.Grant","WR","MIA",1,10,14
"10548","00-0036255","D.Mims","WR","NYJ",0,0,9
"10549","00-0036255","D.Mims","WR","NYJ",0,0,9
"10550","00-0034772","A.Callaway","WR","MIA",1,7,5
"10551","00-0031547","D.Parker","WR","MIA",1,7,14
"10552","00-0036255","D.Mims","WR","NYJ",1,15,9
"10553","00-0031547","D.Parker","WR","MIA",0,0,14
"10554","00-0031547","D.Parker","WR","MIA",1,6,14
"10555","00-0032054","B.Perriman","WR","NYJ",0,0,12
"10556","00-0035510","J.Smith","WR","NYJ",1,7,12
"10557","00-0031547","D.Parker","WR","MIA",1,15,14
"10558","00-0033896","A.Shaheen","TE","MIA",1,7,16
"10559","00-0032054","B.Perriman","WR","NYJ",0,0,12
"10560","00-0032765","M.Thomas","WR","NO",0,0,7
"10561","00-0036407","J.Jeudy","WR","DEN",0,0,16
"10562","00-0030513","L.Murray","RB","NO",1,2,15
"10563","00-0032765","M.Thomas","WR","NO",1,3,7
"10564","00-0033375","T.Patrick","WR","DEN",0,0,15
"10565","00-0033375","T.Patrick","WR","DEN",0,0,15
"10566","00-0033906","A.Kamara","RB","NO",0,0,15
"10567","00-0033906","A.Kamara","RB","NO",1,-2,15
"10568","00-0035644","N.Fant","TE","DEN",0,0,15
"10569","00-0032394","N.Vannett","TE","DEN",0,0,15
"10570","00-0027061","J.Cook","TE","NO",0,0,15
"10571","00-0032765","M.Thomas","WR","NO",1,3,7
"10572","00-0036422","A.Trautman","TE","NO",1,8,15
"10573","00-0034370","D.Hamilton","WR","DEN",0,0,16
"10574","00-0032765","M.Thomas","WR","NO",1,24,7
"10575","00-0035644","N.Fant","TE","DEN",1,13,15
"10576","00-0027061","J.Cook","TE","NO",0,0,15
"10577","00-0032765","M.Thomas","WR","NO",0,0,7
"10578","00-0027685","E.Sanders","WR","NO",1,4,14
"10579","00-0032765","M.Thomas","WR","NO",1,20,7
"10580","00-0034765","T.Smith","WR","NO",1,16,14
"10581","00-0032385","S.Shepard","WR","NYG",1,6,12
"10582","00-0033950","W.Gallman Jr.","RB","NYG",1,4,15
"10583","00-0033881","E.Engram","TE","NYG",1,53,16
